Species_ayerbe,Species_bl,Total.individuals,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Forest_bin,Migration_avo,Migration_bb,Primary_diet,Diet_breadth,Habitat_breadth,Ecological_specialization,Clutch_min,Clutch_max,Clutch_mean,Gen_length,Elev_range,Iucn_red_list
Ochthornis littoralis,Ochthornis littoralis,5,14.5,8.2,4.6,3.2,17.2,70.2,12.3,57.5,17.6,54.6,13.4,Riverine,Open,Carnivore,Invertivore,Insessorial,-17.65,7.54,-3.78,-65.95,4562555.95,Forest,Sedentary,Sedentary,Invertebrate,1,1,2,3,4,3.5,2.294226826,700,LC
Circus buffoni,Circus buffoni,4,41.4,20.9,12.7,16.6,85.3,436,210,226,48.2,265,507.4,Grassland,Open,Carnivore,Vertivore,Aerial,-41.17,10.7,-22.38,-55.29,4327364.53,Non-forest,Partial,Migratory,Vertebrate,1,4,1.3979400086720375,2,4,3,5.740005863,1100,LC
Aramus guarauna,Aramus guarauna,8,130.4,84.9,8.8,13.4,84.6,241.2,24.4,196.6,11.1,225.8,1080,Wetland,Open,Carnivore,Aquatic predator,Terrestrial,-39.32,31.24,-10.49,-58.48,12182050.36,Non-forest,Sedentary,Irregular,Invertebrate,2,5,1,3,8,5.5,3.850647088,1600,LC
Sicalis luteola,Sicalis luteola,21,9.3,7,4.6,6.2,14.7,67,14.1,52.7,21.1,45.4,15.9,Grassland,Open,Herbivore,Granivore,Terrestrial,-44.44,19.17,-23.92,-64.24,2746259.59,Non-forest,Partial,Migratory,Seed,2,4,1.0969100130080565,2,5,3.5,2.096774744,3800,LC
Ammodramus aurifrons,Ammodramus aurifrons,9,14,8.6,4.2,5.4,21.7,58.3,5.7,52.5,9.7,47,17.8,Shrubland,Open,Herbivore,Granivore,Terrestrial,-17.92,10.18,-3.98,-66.53,3867543.93,Non-forest,Sedentary,Sedentary,Seed,2,4,1.0969100130080565,2,3,2.5,2.307261799,1800,LC
Mycteria americana,Mycteria americana,5,224.5,187.7,34.6,44.7,191,455.9,165.1,281.8,37,190.8,2554.47,Wetland,Open,Carnivore,Aquatic predator,Terrestrial,-37.08,33.1,-8.15,-60.1,14553444.64,Non-forest,Partial,Irregular,Fish,3,4,0.9208187539523752,2,5,3.5,8.840286446,1600,LC
Ramphastos sulfuratus,Ramphastos sulfuratus,19,129.2,132.3,33.7,45.8,48.7,200.4,29.6,170.3,14.8,163.1,409.69,Forest,Dense,Omnivore,Frugivore,Insessorial,6.94,21.79,14.77,-86.17,679911.57,Forest,Sedentary,Sedentary,Fruit,3,5,0.8239087409443188,1,4,2.5,5.457539994,1600,NT
Synallaxis candei,Synallaxis candei,6,13.6,9.6,3.3,4,21.2,58.4,6.8,51.6,11.5,68.8,15.3,Woodland,Semi_open,Carnivore,Invertivore,Terrestrial,7.88,12.46,10.35,-72.47,156033.91,Forest,Sedentary,Sedentary,Invertebrate,1,4,1.3979400086720375,2,4,3,2.355425722,1200,LC
Picumnus cinnamomeus,Picumnus cinnamomeus,7,12.3,10.4,3.2,4.6,13.9,55.6,8.2,47.4,14.8,27.2,11.32,Woodland,Semi_open,Carnivore,Invertivore,Insessorial,7.63,12.46,9.95,-73.56,130928.2,Forest,Sedentary,Sedentary,Invertebrate,1,6,1.2218487496163564,NA,NA,NA,2.372496947,400,LC
Chlorostilbon gibsoni,Chlorostilbon gibsoni,15,19.2,13.6,1.9,1.5,5,49.4,31.2,15.5,66.9,28.1,2.61,Woodland,Semi_open,Herbivore,Nectarivore,Aerial,1.71,12.46,8.72,-73.01,309533.13,Forest,Partial,Irregular,Nectar,2,3,1.2218487496163564,2,2,2,1.778672871,2400,LC
Crypturellus erythropus,Crypturellus erythropus,5,29,10.7,4.9,4.4,47,158.2,48.1,110.6,30.1,48.4,485,Shrubland,Semi_open,Herbivore,Omnivore,Terrestrial,-1.46,11.65,5.09,-62.6,1242529.51,Non-forest,Sedentary,Sedentary,Omnivore,3,4,0.9208187539523752,3,3,3,5.828200564,1800,LC
