Species_ayerbe,Species_bl,Total.individuals,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Forest_bin,Migration_avo,Migration_bb,Primary_diet,Diet_breadth,Habitat_breadth,Ecological_specialization,Clutch_min,Clutch_max,Clutch_mean,Gen_length,Elev_range,Iucn_red_list
Anabacerthia variegaticeps,Anabacerthia variegaticeps,12,17,10.9,3.6,5.1,19.4,85.2,15.6,69.2,18.4,70.6,27.8,Forest,Dense,Carnivore,Invertivore,Insessorial,-4.1,18.71,11.78,-87.48,215334.52,Forest,Sedentary,Altitudinal,Invertebrate,1,2,1.6989700043360187,2,2,2,3.28620219,2300,LC
Mionectes striaticollis,Mionectes striaticollis,120,14.2,8,4.2,3.4,17.5,66.8,11.1,56.2,16.5,53.7,15,Forest,Dense,Omnivore,Invertivore,Insessorial,-17.81,7.03,-6.36,-74.72,318010.85,Forest,Sedentary,Sedentary,Invertebrate,2,2,1.3979400086720375,2,3,2.5,2.860812775,3200,LC
Poecilotriccus ruficeps,Poecilotriccus ruficeps,13,13.2,7,3.7,2.7,16.7,46.5,4.8,42.5,10.1,34.7,8.81,Forest,Dense,Carnivore,Invertivore,Insessorial,-5.57,10.42,2.68,-75.85,129577.78,Forest,Sedentary,Sedentary,Invertebrate,1,2,1.6989700043360187,NA,NA,NA,2.304145827,1400,LC
Metallura tyrianthina,Metallura tyrianthina,54,16.5,11.9,2.1,1.7,5.3,54.2,32.3,21.9,59.7,37.8,3.8,Forest,Dense,Herbivore,Nectarivore,Aerial,-18.07,11.05,-5.15,-74.34,422575.2,Forest,Sedentary,Altitudinal,Nectar,2,4,1.0969100130080565,2,2,2,1.828213186,3100,LC
Chaetocercus mulsant,Chaetocercus mulsant,16,21,17.1,1.4,1.5,4.4,39.2,26,13.5,65.9,21.4,3.9,Forest,Semi_open,Herbivore,Nectarivore,Aerial,-17.8,7.13,-5.78,-75.64,263636.46,Forest,Sedentary,Altitudinal,Nectar,2,2,1.3979400086720375,NA,NA,NA,1.902058452,2200,LC
Odontophorus hyperythrus,Odontophorus hyperythrus,8,21.1,11.7,8.2,11.9,46.6,137.7,23.4,112.7,17.3,59,339.3,Forest,Dense,Herbivore,Omnivore,Terrestrial,1.37,7.39,4.42,-75.93,60489.28,Forest,Sedentary,Sedentary,Herbivore,2,3,1.2218487496163564,4,5,4.5,5.320001465,1600,LC
Anisognathus somptuosus,Anisognathus somptuosus,11,20,10.8,5.9,7.7,23.7,92.1,18.9,71.7,20.9,72,44.5,Forest,Dense,Omnivore,Invertivore,Insessorial,-13.36,10.82,-1.73,-75.6,319648.43,Forest,Sedentary,Sedentary,Invertebrate,2,2,1.3979400086720375,NA,NA,NA,3.370791223,2100,LC
Dysithamnus mentalis,Dysithamnus mentalis,66,15.8,9.2,4.2,4.6,19,59.8,6.7,54,11.1,42.6,14.87,Forest,Dense,Carnivore,Invertivore,Insessorial,-29.77,18.19,-11.55,-56.53,4153057.29,Forest,Sedentary,Sedentary,Invertebrate,2,4,1.0969100130080565,2,2,2,2.969970277,2300,LC
Gallinago nobilis,Gallinago nobilis,5,97.9,88.2,5.9,8.2,36.9,138.4,47.5,91,34.2,53.2,192.44,Wetland,Open,Carnivore,Aquatic predator,Terrestrial,-5.41,7.65,2.25,-76.43,259666.16,Non-forest,Sedentary,Sedentary,Invertebrate,1,3,1.5228787452803376,2,2,2,4.325724097,2400,NT
Sphenopsis frontalis,Sphenopsis frontalis,23,16.1,8.8,4.5,5.1,20.5,70.7,10.2,59.3,14.8,65.1,17,Forest,Dense,Carnivore,Invertivore,Insessorial,-13.27,10.72,-0.96,-75.14,200867.55,Forest,Sedentary,Sedentary,Invertebrate,1,2,1.6989700043360187,NA,NA,NA,2.711598049,2300,LC
Tangara nigroviridis,Tangara nigroviridis,21,12,6.1,4.3,4.4,16.3,69.5,16.9,52,24.6,49.4,17,Forest,Dense,Herbivore,Frugivore,Insessorial,-17.79,10.78,-3.51,-73.64,348796.62,Forest,Sedentary,Sedentary,Fruit,2,2,1.3979400086720375,2,NA,2,2.784113434,2100,LC
Myrmotherula schisticolor,Myrmotherula schisticolor,12,15.5,8.2,3.3,3.4,15.6,54.9,7.3,48.7,13.4,36.9,9.6,Forest,Dense,Carnivore,Invertivore,Insessorial,-13.9,17.22,4.8,-78.01,534175.27,Forest,Sedentary,Sedentary,Invertebrate,1,3,1.5228787452803376,2,2,2,2.65538438,1700,LC
Pseudotriccus ruficeps,Pseudotriccus ruficeps,13,11.6,6.2,3.8,3.2,22.7,55.8,6.8,49.3,12.2,43,11.3,Forest,Dense,Carnivore,Invertivore,Insessorial,-17.37,6.52,-6.31,-74.54,194101.79,Forest,Sedentary,Sedentary,Invertebrate,1,2,1.6989700043360187,NA,NA,NA,2.392394175,1900,LC
Lafresnaya lafresnayi,Lafresnaya lafresnayi,14,29.6,24.9,2.5,1.8,5.7,63.6,38.7,23.3,62.4,40.2,5.3,Forest,Dense,Herbivore,Nectarivore,Aerial,-14.83,11.15,-3.12,-75.93,312941.28,Forest,Sedentary,Altitudinal,Nectar,2,2,1.3979400086720375,2,2,2,1.964990336,2000,LC
Tangara xanthocephala,Tangara xanthocephala,15,14.5,7.4,3.9,4.8,17.5,74.1,17.8,56.6,23.9,49.7,19,Forest,Dense,Herbivore,Frugivore,Insessorial,-18.87,10.78,-4.13,-73.82,356998.99,Forest,Sedentary,Sedentary,Fruit,2,2,1.3979400086720375,2,2,2,3.047879614,1600,LC
Dendrocincla tyrannina,Dendrocincla tyrannina,24,35.8,23,7.5,7.9,25.4,122.3,22.1,101.2,17.9,121.1,54.9,Forest,Dense,Carnivore,Invertivore,Insessorial,-14.93,7.7,-2.03,-75.29,307936.87,Forest,Sedentary,Sedentary,Invertebrate,1,1,2,1,NA,1,3.797623348,2400,LC
Penelope montagnii,Penelope montagnii,11,34.8,14.6,9.1,10.1,58.7,241.5,30.9,219.7,12.2,250.8,706,Forest,Dense,Herbivore,Frugivore,Insessorial,-18.07,11.08,-3.19,-73.51,368616.68,Forest,Sedentary,Altitudinal,Fruit,2,2,1.3979400086720375,2,2,2,6.294913772,2300,LC
Xenops rutilans,Xenops rutilus,20,13.3,9.3,2.9,4.5,14.3,65.8,15.5,50.4,23.5,49,11.2,Forest,Dense,Carnivore,Invertivore,Insessorial,-30.64,11.58,-13.23,-54.69,6929954.15,Forest,Sedentary,Sedentary,Invertebrate,1,2,1.6989700043360187,2,3,2.5,2.460546044,2660,LC
Thripadectes flammulatus,Thripadectes flammulatus,13,25.2,15,5.4,7.4,29.1,90.3,9,81.8,10,101.5,55.89,Forest,Dense,Carnivore,Invertivore,Insessorial,-5.35,11.18,1.64,-76.67,57126.72,Forest,Sedentary,Sedentary,Invertebrate,2,2,1.3979400086720375,2,2,2,3.581028412,3100,LC
Myornis senilis,Myornis senilis,5,16.6,8.7,3.5,4.4,21.7,56.9,7.2,50.1,12.5,62.7,21.2,Forest,Dense,Carnivore,Invertivore,Insessorial,-10.35,7.44,0.25,-76.42,118973.23,Forest,Sedentary,Sedentary,Invertebrate,1,2,1.6989700043360187,NA,NA,NA,2.828607553,2350,LC
Arremon brunneinucha,Arremon brunneinucha,50,19.5,11.8,6.1,7.4,28.8,80.8,7.5,74.9,9.1,84.7,43.97,Forest,Dense,Omnivore,Invertivore,Generalist,-14.47,21.63,4.92,-80.55,618730.16,Forest,Sedentary,Sedentary,Invertebrate,2,3,1.2218487496163564,1,2,1.5,3.802236472,3500,LC
Pseudocolaptes boissonneautii,Pseudocolaptes boissonneauii,28,28,15.1,4.3,5.8,26,105.6,19.9,85.7,18.8,95.2,43.9,Forest,Dense,Carnivore,Invertivore,Insessorial,-17.78,10.7,-3.16,-74.22,395920.18,Forest,Sedentary,Sedentary,Invertebrate,2,1,1.6989700043360187,NA,NA,NA,3.314237619,2450,LC
Trogon personatus,Trogon personatus,23,18.9,11.7,8.5,8.9,14.3,125.7,46.9,78.3,37.5,157.8,63.39,Forest,Dense,Omnivore,Omnivore,Insessorial,-20.4,11.16,-2.92,-71.92,745904.62,Forest,Sedentary,Altitudinal,Omnivore,2,2,1.3979400086720375,2,2,2,3.939588153,3300,LC
Colaptes rivolii,Colaptes rivolii,14,33.5,24.9,9.1,8,24.8,131.1,27.3,103.2,20.9,103.6,102,Forest,Dense,Carnivore,Invertivore,Insessorial,-13.31,11,-0.01,-75.82,463744.41,Forest,Sedentary,Sedentary,Invertebrate,2,2,1.3979400086720375,NA,NA,NA,3.032121603,3150,LC
Grallaria ruficapilla,Grallaria ruficapilla,32,28.7,16.2,6.8,8.2,51.8,97.3,5,94.4,5.1,58.1,82.67,Forest,Dense,Carnivore,Invertivore,Terrestrial,-7.48,10.91,2.11,-75.84,239637.78,Forest,Sedentary,Sedentary,Invertebrate,1,3,1.5228787452803376,2,2,2,3.6214758,2800,LC
Orochelidon murina,Orochelidon murina,15,9.8,4.3,3.4,2.2,11.5,112.7,57,56.3,50.3,61.6,11.7,Grassland,Open,Carnivore,Invertivore,Aerial,-17.86,11.08,-6.5,-74.73,425662.43,Non-forest,Partial,Sedentary,Invertebrate,1,7,1.1549019599857433,2,3,2.5,2.481155536,2600,LC
Pyrrhomyias cinnamomeus,Pyrrhomyias cinnamomeus,33,13.6,7,5,3.1,12.8,69.9,15.8,53.8,22.7,61.3,9.9,Forest,Semi_open,Carnivore,Invertivore,Insessorial,-27.35,11.15,-5.78,-72.17,539963.44,Forest,Sedentary,Sedentary,Invertebrate,2,3,1.2218487496163564,2,2,2,2.528879608,3150,LC
Catharus aurantiirostris,Catharus aurantiirostris,12,16.9,9.6,4.2,4.6,30.4,76.8,12.5,63.5,16.4,60.5,29.8,Forest,Semi_open,Omnivore,Invertivore,Generalist,0.95,29.53,17.31,-93.72,674006.88,Forest,Sedentary,Altitudinal,Invertebrate,3,6,0.7447274948966939,2,3,2.5,3.151772863,2700,LC
Cinclus leucocephalus,Cinclus leucocephalus,11,18.3,9.2,3.4,4.2,28.7,85.6,18.2,67.3,21.3,49,44,Riverine,Open,Carnivore,Aquatic predator,Generalist,-17.84,11.16,-6.04,-74.63,619987.76,Forest,Sedentary,Altitudinal,Invertebrate,2,2,1.3979400086720375,1,2,1.5,2.806981265,3600,LC
Serpophaga cinerea,Serpophaga cinerea,9,12.2,5.7,3,2.7,16.7,56.1,8.6,47.5,15.4,47.7,8.3,Riverine,Open,Carnivore,Invertivore,Insessorial,-17.83,11.09,-2.75,-75.65,537348.41,Forest,Sedentary,Sedentary,Invertebrate,1,2,1.6989700043360187,2,2,2,2.445922116,3850,LC
Merganetta armata,Merganetta armata,8,33.5,21,9.8,9.8,36.2,163.4,63.1,106.4,37.4,111.1,398.82,Riverine,Open,Carnivore,Aquatic predator,Aquatic,-54.95,9.79,-24.14,-71.85,1090659.13,Forest,Sedentary,Sedentary,Invertebrate,1,1,2,3,4,3.5,5.206102844,4800,LC
Troglodytes solstitialis,Troglodytes solstitialis,47,16.2,9.3,3.1,3.1,18.8,48.2,6.6,42.5,13.4,38.3,11.4,Forest,Dense,Carnivore,Invertivore,Insessorial,-27.51,11.17,-5.62,-73.13,553583.66,Forest,Sedentary,Sedentary,Invertebrate,1,2,1.6989700043360187,2,5,3.5,2.796301986,2500,LC
Heliangelus exortis,Heliangelus exortis,54,19.8,13.2,1.9,1.9,4.7,60.8,40.2,22.5,64.2,40.4,4.59,Forest,Dense,Herbivore,Nectarivore,Insessorial,-2.14,7.21,3.29,-76.06,64064.87,Forest,Sedentary,Altitudinal,Nectar,2,4,1.0969100130080565,2,2,2,2.008675793,2300,LC
Myiotheretes fumigatus,Myiotheretes fumigatus,11,23.7,13.4,7.1,5.3,23.4,110.1,23.6,86.5,21.4,84.8,33.4,Forest,Semi_open,Carnivore,Invertivore,Insessorial,-13.33,10.75,0.34,-75.63,214456.43,Forest,Sedentary,Sedentary,Invertebrate,1,1,2,2,2,2,3.176381383,2100,LC
Diglossa cyanea,Diglossa cyanea,109,18,11.4,3.3,5.1,22.5,73.6,13.8,60,18.6,63,17.04,Forest,Semi_open,Omnivore,Frugivore,Insessorial,-17.95,10.68,-2.98,-74.79,392147.64,Forest,Sedentary,Altitudinal,Fruit,3,2,1.2218487496163564,NA,NA,NA,2.699178269,2400,LC
Boissonneaua flavescens,Boissonneaua flavescens,19,20.9,13.9,2.7,2.4,6.4,75.2,46.3,29.2,61.3,48.4,8.2,Forest,Dense,Herbivore,Nectarivore,Insessorial,-0.85,9.55,4.62,-74.88,128710.18,Forest,Sedentary,Sedentary,Nectar,2,2,1.3979400086720375,2,2,2,2.317095787,2500,LC
Myiotriccus ornatus,Myiotriccus ornatus,5,13.2,6.7,5.4,3.6,14.3,59.6,11.5,46.8,19.8,41.2,9.9,Forest,Dense,Carnivore,Invertivore,Insessorial,-3.66,8.42,3.85,-76.2,149294.03,Forest,Sedentary,Sedentary,Invertebrate,1,3,1.5228787452803376,NA,NA,NA,2.534393376,2200,LC
Amblycercus holosericeus,Amblycercus holosericeus,27,30.3,21.3,7,9.8,31.5,94.6,9.7,82.4,10.6,97.5,70.42,Forest,Dense,Carnivore,Invertivore,Insessorial,-18.35,23.75,9.78,-84.39,1152587.02,Forest,Sedentary,Altitudinal,Invertebrate,1,6,1.2218487496163564,2,2,2,4.013389552,3800,LC
Pipreola riefferii,Pipreola riefferii,26,16.6,7.6,5.2,4.8,22.3,88.7,15,73.8,17.2,73.5,49.3,Forest,Dense,Herbivore,Frugivore,Insessorial,-9.93,10.88,2.08,-75.49,257255.05,Forest,Sedentary,Sedentary,Fruit,1,2,1.6989700043360187,2,2,2,3.408856795,2600,LC
Andigena nigrirostris,Andigena nigrirostris,12,88.5,80.7,27.7,30.9,40.1,167.3,19.4,142.4,12,185.3,350,Forest,Dense,Herbivore,Frugivore,Insessorial,-5.08,9.73,3.99,-74.97,110031.99,Forest,Sedentary,Sedentary,Fruit,2,5,1,NA,NA,NA,4.883222967,2000,LC
Leptosittaca branickii,Leptosittaca branickii,8,27,24,14.3,25.9,19.4,181.6,74.7,105.1,41.5,191.5,155.7,Forest,Dense,Herbivore,Granivore,Insessorial,-13.59,5.07,-4.59,-75.13,44189.56,Forest,Sedentary,Irregular,Seed,2,2,1.3979400086720375,NA,NA,NA,2.988376883,2100,LC
Xiphorhynchus triangularis,Xiphorhynchus triangularis,24,33.2,22.7,5.3,7,22.3,114.3,25.8,88.8,22.5,97.9,46.3,Forest,Dense,Carnivore,Invertivore,Insessorial,-17.65,10.58,-2.58,-74.16,286355.73,Forest,Sedentary,Sedentary,Invertebrate,1,1,2,NA,NA,NA,3.32945191,1800,LC
Hellmayrea gularis,Hellmayrea gularis,14,15.6,8.2,2.7,2.8,21.1,57.6,7,50.4,12.3,53.6,12.4,Forest,Dense,Carnivore,Invertivore,Insessorial,-13.3,10.63,-0.87,-76.28,170416.44,Forest,Sedentary,Sedentary,Invertebrate,1,3,1.5228787452803376,NA,NA,NA,2.46463229,2000,LC
Catamenia inornata,Catamenia inornata,32,10.1,6.5,4.6,6.9,22.7,70.7,12.8,62.7,17,61,13.4,Shrubland,Open,Herbivore,Granivore,Terrestrial,-35.22,9.34,-15.76,-70.71,801552,Non-forest,Sedentary,Irregular,Seed,1,2,1.6989700043360187,NA,NA,NA,1.963761884,1800,LC
Coeligena prunellei,Coeligena prunellei,4,32,27,2.8,2.4,6,80.2,49.7,30.6,61.9,49.5,6.98,Forest,Dense,Herbivore,Nectarivore,Aerial,4.58,6.94,5.76,-73.78,6382.86,Forest,Sedentary,Sedentary,Nectar,2,3,1.2218487496163564,2,NA,2,2.189898931,2000,VU
Myiotheretes striaticollis,Myiotheretes striaticollis,15,27.4,16.1,8.2,6.9,25.3,140.1,36.2,103.7,25.8,98.8,61.2,Shrubland,Semi_open,Carnivore,Invertivore,Insessorial,-27.32,11.15,-9.89,-72.58,632466.9,Non-forest,Sedentary,Altitudinal,Invertebrate,2,3,1.2218487496163564,NA,NA,NA,3.593318658,2600,LC
Tangara labradorides,Tangara labradorides,11,11.6,7,4.6,5.1,16.6,65,13.5,49,21.5,47.8,15,Forest,Dense,Omnivore,Frugivore,Insessorial,-6.72,7.54,3.28,-75.54,104444.95,Forest,Sedentary,Sedentary,Invertebrate,2,2,1.3979400086720375,NA,NA,NA,2.729432717,1500,LC
Conirostrum albifrons,Conirostrum albifrons,15,15.4,8.4,3.1,3.8,16.5,71,15.3,55.1,21.7,57.3,14.9,Forest,Dense,Carnivore,Invertivore,Insessorial,-17.72,10.56,-3.69,-74.28,298087.62,Forest,Sedentary,Sedentary,Invertebrate,1,1,2,NA,NA,NA,2.531094998,1700,LC
Aglaeactis cupripennis,Aglaeactis cupripennis,38,22.5,16.4,2.5,1.8,7.3,81.5,50.8,30.5,62.5,49.9,7.6,Shrubland,Semi_open,Herbivore,Nectarivore,Aerial,-13.7,8.02,-4.08,-76.67,224852.99,Non-forest,Sedentary,Altitudinal,Nectar,2,2,1.3979400086720375,2,2,2,2.157580188,2200,LC
Scytalopus spillmanni,Scytalopus spillmanni,7,14.7,8.8,3.4,4,23.8,58.9,3.9,55,6.7,44.1,23.54,Forest,Dense,Carnivore,Invertivore,Generalist,-2.94,7.09,2.4,-76.74,85564.21,Forest,Sedentary,Sedentary,Invertebrate,1,2,1.6989700043360187,2,2,2,3.083217833,2200,LC
Atlapetes albofrenatus,Atlapetes albofrenatus,4,15.7,9.5,5.3,6.7,26.4,72,9.4,62.5,13.1,78,30,Forest,Dense,Omnivore,Omnivore,Insessorial,4.34,8.11,6.2,-73.25,31052.55,Forest,Sedentary,Sedentary,Omnivore,2,2,1.3979400086720375,NA,NA,NA,2.534393376,1500,LC
Euphonia chlorotica,Euphonia chlorotica,13,9.2,5.9,4.1,4,12.9,56.7,13.7,42.8,24.2,32.9,11,Forest,Semi_open,Herbivore,Frugivore,Insessorial,-33.77,8.63,-11.69,-56.85,9620331.07,Forest,Sedentary,Irregular,Fruit,2,6,0.9208187539523752,2,5,3.5,2.041408231,1300,LC
Ramphastos vitellinus,Ramphastos culminatus,10,120.4,116.3,31,40.5,47.5,198.3,24.9,173.4,12.6,154.6,360.36,Forest,Dense,Omnivore,Frugivore,Insessorial,-20.79,8.96,-7.09,-63.12,5502652.61,Forest,Sedentary,Sedentary,Fruit,3,5,0.8239087409443188,2,4,3,3.184400104,1800,LC
Brotogeris cyanoptera,Brotogeris cyanoptera,9,20.3,18,9.8,14,11.3,114.4,41.3,73.7,35.9,58.4,56,Forest,Dense,Herbivore,Frugivore,Insessorial,-18.07,6.17,-4.7,-70.91,2567592.63,Forest,Sedentary,Irregular,Herbivore,3,3,1.045757490560675,5,5,5,3.718758375,1100,LC
Xiphorhynchus guttatus,Xiphorhynchus guttatus,2,40.2,30.4,6.1,8.3,25,106.4,17,94.9,15.2,115,59.69,Forest,Dense,Carnivore,Invertivore,Insessorial,-23.04,10.25,-0.07,-55.92,2005419.73,Forest,Sedentary,Sedentary,Invertebrate,2,5,1,1,3,2,3.64343393,1300,LC
Tigrisoma fasciatum,Tigrisoma fasciatum,5,97,75.7,14.1,19.3,90.6,310.6,83.8,221.9,27.4,122.8,850,Riverine,Semi_open,Carnivore,Aquatic predator,Terrestrial,-30.65,15.67,-13.34,-62.54,1533469.08,Forest,Sedentary,Irregular,Fish,1,3,1.5228787452803376,1,1,1,6.431337993,2500,LC
Touit stictopterus,Touit stictopterus,5,20.9,16.5,10,15.6,12,121.8,50,71.8,41,55.8,78.8,Forest,Dense,Herbivore,Omnivore,Insessorial,-6.33,0.13,-3.34,-78.33,32941.14,Forest,Partial,Sedentary,Fruit,2,1,1.6989700043360187,NA,NA,NA,3.834559061,2000,NT
Touit huetii,Touit huetii,5,18.2,15.4,9.2,13.8,9.9,111.2,46.1,65.1,41.4,50.4,60,Forest,Dense,Herbivore,Frugivore,Insessorial,-14.11,10.69,-4.77,-61.57,3167705.16,Forest,Sedentary,Irregular,Fruit,1,1,2,NA,NA,NA,3.592742313,1000,LC
Geotrygon montana,Geotrygon montana,37,19.5,9,3.5,4.4,26.9,136.5,36.7,99.2,27.1,76.3,133.86,Forest,Dense,Herbivore,Omnivore,Terrestrial,-32.04,24.36,-5.71,-59.94,13251114.74,Forest,Sedentary,Irregular,Herbivore,3,4,0.9208187539523752,2,2,2,4.781938914,2700,LC
Synallaxis gujanensis,Synallaxis gujanensis,16,15.6,9.8,3.3,4.1,21.8,60.6,5.5,53.9,9.2,72,18.1,Forest,Semi_open,Carnivore,Invertivore,Insessorial,-18.6,9.27,-5.63,-61.88,4462466.66,Forest,Sedentary,Sedentary,Invertebrate,1,5,1.3010299956639813,2,3,2.5,2.790599595,1300,LC
Spizaetus tyrannus,Spizaetus tyrannus,5,42.3,24.9,12.1,21,80.4,384.4,68.6,315.6,17.9,334.4,1007.11,Forest,Semi_open,Carnivore,Vertivore,Insessorial,-30.42,21.81,-4.6,-62.84,8304333.12,Forest,Sedentary,Sedentary,Vertebrate,1,2,1.6989700043360187,1,1,1,7.996084446,2100,LC
Tachyphonus surinamus,Maschalethraupis surinama,14,16.4,11.9,5.3,5.5,18,79.9,16.3,64.2,20.2,70.1,19,Forest,Semi_open,Omnivore,Omnivore,Insessorial,-10.97,10.16,-1.37,-63.69,4737118.2,Forest,Sedentary,Sedentary,Fruit,2,2,1.3979400086720375,2,3,2.5,2.719812527,900,LC
Phaethornis syrmatophorus,Phaethornis syrmatophorus,43,43.1,34.9,2.7,2.4,4.6,60.9,36,24.9,59.1,62.6,5.8,Forest,Dense,Herbivore,Nectarivore,Aerial,-7,7.23,0.97,-76.99,159638.35,Forest,Sedentary,Sedentary,Nectar,2,2,1.3979400086720375,2,2,2,2.109896668,2200,LC
Xiphorhynchus susurrans,Xiphorhynchus susurrans,34,36,27.2,5.4,7,23.9,101.8,18.1,83.8,17.8,88.6,46.72,Forest,Dense,Carnivore,Invertivore,Insessorial,2.99,16.03,9.59,-76.11,640926.31,Forest,Sedentary,Sedentary,Invertebrate,2,6,0.9208187539523752,2,2,2,3.635375376,2500,LC
Myrmotherula brachyura,Myrmotherula brachyura,9,13.5,8.5,3.1,3,16.2,43.6,4.2,39.7,9.5,19.5,6.4,Forest,Dense,Carnivore,Invertivore,Insessorial,-16.99,8.47,-3.79,-63.28,6190843.58,Forest,Sedentary,Sedentary,Invertebrate,1,2,1.6989700043360187,NA,NA,NA,2.3748312,1200,LC
Ramphotrigon megacephalum,Ramphotrigon megacephalum,5,14,8.3,5.6,4.1,15.8,59,8.6,50.4,14.6,55.6,14.2,Forest,Dense,Carnivore,Invertivore,Insessorial,-27.34,10.53,-9.22,-63.37,2269306.34,Forest,Sedentary,Sedentary,Invertebrate,1,2,1.6989700043360187,2,2,2,2.805651067,1500,LC
Chaetura cinereiventris,Chaetura cinereiventris,5,8.1,2.9,3,2.2,10.8,104.4,70.1,34.4,67,41.4,13.9,Forest,Dense,Carnivore,Invertivore,Aerial,-30.16,15.93,-6.25,-64.38,6102705.51,Forest,Sedentary,Sedentary,Invertebrate,1,1,2,2,4,3,2.610382414,2300,LC
Accipiter striatus,Accipiter striatus,20,18.3,10.1,7.3,9.4,49.9,181.6,56.6,126.8,30.7,134.3,130.59,Forest,Dense,Carnivore,Vertivore,Aerial,-34.98,69.38,34.35,-96.11,16375303.87,Forest,Long_distance,Altitudinal,Vertebrate,1,4,1.3979400086720375,2,5,3.5,5.472726925,3200,LC
Lophotriccus pileatus,Lophotriccus pileatus,7,13.2,6.6,3.6,2.8,15.1,48.9,7.6,41.3,15.7,39.3,7.47,Forest,Dense,Carnivore,Invertivore,Insessorial,-14.45,15.64,-1.34,-75.64,475468.12,Forest,Sedentary,Sedentary,Invertebrate,1,2,1.6989700043360187,2,2,2,2.39700015,2300,LC
Turdus leucops,Turdus leucops,14,23.7,12.6,5.3,6.2,27.1,117.1,29.9,87,25.6,87.2,62.4,Forest,Dense,Herbivore,Frugivore,Insessorial,-18.23,11.2,-1.3,-70.79,490113.81,Forest,Sedentary,Altitudinal,Fruit,2,4,1.0969100130080565,2,2,2,3.628434372,1400,LC
Conirostrum sitticolor,Conirostrum sitticolor,22,14.2,7.7,2.8,3.8,17.7,66.9,13.9,53.1,20.7,55.6,11.9,Forest,Dense,Carnivore,Invertivore,Insessorial,-17.94,10.78,-3.57,-74.7,300002.23,Forest,Sedentary,Sedentary,Invertebrate,1,1,2,NA,NA,NA,2.474633598,1500,LC
Pachysylvia semibrunnea,Pachysylvia semibrunnea,16,16,9,4,4.3,17.9,62.2,7.8,54.4,12.6,50.1,11.4,Forest,Dense,Carnivore,Invertivore,Insessorial,-0.74,10.87,5.06,-75.07,42187.56,Forest,Sedentary,Sedentary,Invertebrate,1,3,1.5228787452803376,NA,NA,NA,2.403426377,2450,LC
Saltator atripennis,Saltator atripennis,11,21.5,13.9,9.2,11,24.2,102.5,12.9,87.8,12.8,99,55,Forest,Semi_open,Herbivore,Frugivore,Insessorial,-3.98,8.56,2.94,-76.74,110254.94,Forest,Sedentary,Sedentary,Fruit,1,3,1.5228787452803376,2,3,2.5,3.559103906,2300,LC
Pharomachrus auriceps,Pharomachrus auriceps,14,26.3,13.4,11.5,10.7,18.5,202.1,73.7,127.6,36.6,193.4,180,Forest,Dense,Herbivore,Frugivore,Insessorial,-17.97,10.85,-3.4,-74.62,494429.38,Forest,Sedentary,Sedentary,Fruit,1,2,1.6989700043360187,NA,NA,NA,4.621298837,2300,LC
Phylloscartes ophthalmicus,Pogonotriccus ophthalmicus,17,10.7,6.2,3.7,3.3,15.3,59.6,9.7,49,16.5,56.6,9.2,Forest,Dense,Carnivore,Invertivore,Insessorial,-17.61,10.46,-4.05,-74.41,179706.35,Forest,Sedentary,Sedentary,Invertebrate,1,1,2,2,2,2,2.315167366,2000,LC
Chlorospingus canigularis,Chlorospingus canigularis,11,14.5,7.7,4.1,5.1,18.9,69.2,13.9,56.5,19.8,55.6,18,Forest,Dense,Omnivore,Frugivore,Insessorial,-13.27,10.36,-1.81,-76.05,165238.27,Forest,Sedentary,Sedentary,Fruit,1,2,1.6989700043360187,NA,NA,NA,2.689703213,2100,LC
Thripadectes virgaticeps,Thripadectes virgaticeps,7,28,17.4,5.6,7.7,28.6,98.1,13.1,85,13.3,92.3,65.8,Forest,Dense,Carnivore,Invertivore,Insessorial,-0.83,10.56,4.54,-75.04,62554.86,Forest,Sedentary,Sedentary,Invertebrate,1,1,2,2,2,2,3.835427387,1500,LC
Grallaria alleni,Grallaria alleni,1,25.7,15.6,6.6,7.5,45.7,98,17.2,80.8,17.6,42.5,70.5,Forest,Dense,Carnivore,Invertivore,Terrestrial,-1.19,6.52,1.07,-77.31,8886.61,Forest,Sedentary,Sedentary,Invertebrate,1,1,2,2,2,2,3.285878706,1700,VU
Syndactyla subalaris,Syndactyla subalaris,27,22.7,12.6,4.4,5.9,21.9,87.8,15.5,72.5,17.6,84.4,28.9,Forest,Dense,Carnivore,Invertivore,Insessorial,-12.82,10.84,0.79,-75.86,258113.59,Forest,Sedentary,Sedentary,Invertebrate,2,2,1.3979400086720375,NA,NA,NA,2.732988991,2400,LC
Cyclarhis nigrirostris,Cyclarhis nigrirostris,16,18.6,10.7,5.3,7.3,22.6,76.7,10.4,66.2,13.5,62.6,31.9,Forest,Semi_open,Carnivore,Invertivore,Insessorial,-1.2,7.76,3.86,-75.67,83596.16,Forest,Sedentary,Sedentary,Invertebrate,1,1,2,NA,NA,NA,3.122394455,1600,LC
